file,brand,sku,name
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY108RTFFSEN-NG","The Outdoor Plus RTF 108 Inch Berkeley Outdoor See Thru Gas Fireplace - Flame Sense Spark"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY108RTFFSML-NG","The Outdoor Plus RTF 108 Inch Berkeley Outdoor See Thru Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY120RTFEKIT-NG","The Outdoor Plus RTF 120 Inch Berkeley Outdoor See Thru Gas Fireplace - Electronic"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY84RTFEKIT-NG","The Outdoor Plus RTF 84 Inch Berkeley Outdoor See Thru Gas Fireplace - Electronic"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY84RTFFSEN-NG","The Outdoor Plus RTF 84 Inch Berkeley Outdoor See Thru Gas Fireplace - Flame Sense Spark"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY84RTFFSML-NG","The Outdoor Plus RTF 84 Inch Berkeley Outdoor See Thru Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72RTFSC-NG","The Outdoor Plus RTF 72 Inch Williams Outdoor See Thru Scupper Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84RTFEKIT-NG","The Outdoor Plus RTF 84 Inch Williams Outdoor See Thru Gas Fireplace - Electronic"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96CSEKIT-NG","The Outdoor Plus 96 Inch Corten Steel See Through Outdoor Gas Fireplace - Electronic Ignition"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96PCFSEN-BLK-NG","The Outdoor Plus 96 Inch Williams See-Thru Outdoor Gas Fireplace - Flame Sense Spark Ignition"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96RTF-NG","The Outdoor Plus RTF 96 Inch Williams Outdoor See Through Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96RTFEKIT-NG","The Outdoor Plus RTF 96 Inch Williams Outdoor See Through Gas Fireplace - Electronic"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96CSFSML-NG","The Outdoor Plus 96 Inch Corten Steel See Through Outdoor Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96PC-BLK-NG","The Outdoor Plus 96 Inch Williams See-Thru Outdoor Gas Fireplace - Match Light"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96PCEKIT-BLK-NG","The Outdoor Plus 96 Inch Williams See-Thru Outdoor Gas Fireplace - Plug and Play"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96SSFSEN-NG","The Outdoor Plus 96 Inch Stainless Steel See Through Outdoor Gas Fireplace - Spark Ignition"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84SSE12V-NG","The Outdoor Plus 84 Inch Stainless Steel See Through Outdoor Gas Fireplace - Low Voltage Ignition"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY96RTFFSML-NG","The Outdoor Plus RTF 96 Inch Berkeley Outdoor See Thru Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY120RTF-NG","The Outdoor Plus RTF 120 Inch Berkeley Outdoor See Thru Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT108RTFFSML-NG","The Outdoor Plus RTF 108 Inch Huntington Outdoor Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT120RTF-NG","The Outdoor Plus RTF 120 Inch Huntington Outdoor Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT120RTFFSML-NG","The Outdoor Plus RTF 120 Inch Huntington Outdoor Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT84RTF-NG","The Outdoor Plus RTF 84 Inch Huntington Outdoor Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT84RTFEKIT-NG","The Outdoor Plus RTF 84 Inch Huntington Outdoor Gas Fireplace - Electronic"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72CS-NG","The Outdoor Plus 72 Inch Corten Steel See Through Outdoor Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72CSE12V-NG","The Outdoor Plus 72 Inch Corten Steel See Through Outdoor Gas Fireplace - Low Voltage Ignition"
