priority_rank,priority_tier,priority_score,category_file,sku,brand,normalized_brand,model_guess,name,slug,current_image_path_url,current_local_image_exists,is_best_seller,rating,review_count,sale_price
109,B,187.8,data/gas-fireplaces-scraped.json,EMP-DVD36FP71N,Empire,Empire,DVD36FP71N,Empire 36 Inch Deluxe Tahoe Direct Vent Fireplace with Blower - Intermittent Pilot,emp-dvd36fp71n,/products/gas-fireplaces/emp-dvd36fp71n-200545f1.webp,yes,False,5.0,7,2379.0
110,B,187.6,data/gas-fireplaces-scraped.json,ODL-ODCOUG-42TS,Outdoor,Outdoor Lifestyles,ODCOUG-42TS,Outdoor Lifestyles 42 Inch Courtyard Outdoor Vent Free Gas Fireplace with Concrete Refractory Panels,odl-odcoug-42ts,/products/gas-fireplaces/odl-odcoug-42ts-e2b38ec4.webp,yes,False,5.0,2,3359.0
111,B,187.6,data/gas-fireplaces-scraped.json,SFL-STANFORD-55G-LP-DELUXE-STANFORD-SB,Sierra,Sierra,STANFORD-55G,Sierra Flame 55 Inch Stanford Deluxe Linear Direct Vent Gas Fireplace with Basic Trim,sfl-stanford-55g-lp-deluxe-stanford-sb,/products/gas-fireplaces/sfl-stanford-55g-lp-deluxe-stanford-sb-a7edfdba.webp,yes,False,3.0,1,4562.99
112,B,187.5,data/gas-fireplaces-scraped.json,FRK-01FR0036,FireRock,FireRock,01FR0036,FireRock 36 Inch Conventional Masonry Fireplace,frk-01fr0036,/products/gas-fireplaces/frk-01fr0036-fe3884e4.webp,yes,False,5.0,1,3547.79
113,B,187.2,data/gas-fireplaces-scraped.json,FRK-01FR0536,FireRock,FireRock,01FR0536,FireRock 36 Inch Rumford Style Vented Masonry Fireplace,frk-01fr0536,/products/gas-fireplaces/frk-01fr0536-2ff2daa3.webp,yes,False,5.0,1,3520.99
114,B,187.0,data/electric-fireplaces-scraped.json,DIM-X-XLF10017-XD,Dimplex,Dimplex,X-XLF10017-XD,Dimplex 100 Inch IgniteXL Bold Built-in Bay Front Linear Electric Fireplace with Corner Options,dim-x-xlf10017-xd,/products/electric-fireplaces/dim-x-xlf10017-xd-a72ce016.webp,yes,False,5.0,1,6249.99
115,B,187.0,data/electric-fireplaces-scraped.json,MDF-OR60-MULTI,Modern,Modern Flames,OR60-MULTI,Modern Flames 60 Inch Orion Bay Front Electric Wall Fireplace,mdf-or60-multi,/products/electric-fireplaces/mdf-or60-multi-31b36d57.webp,yes,False,5.0,1,5299.0
116,B,186.7,data/gas-fireplaces-scraped.json,EMP-DVP48FP71N,Empire,Empire,DVP48FP71N,Empire 48 Inch Premium Tahoe Direct Vent Fireplace with Blower - Intermittent Pilot,emp-dvp48fp71n,/products/gas-fireplaces/emp-dvp48fp71n-31a7279a.webp,yes,False,5.0,1,3469.0
117,B,186.6,data/gas-fireplaces-scraped.json,KGM-HBZDV4224N,Kingsman,Kingsman,HBZDV4224N,Kingsman 42 Inch HBZDV4224 Direct Vent Gas Fireplace,kgm-hbzdv4224n,/products/gas-fireplaces/kgm-hbzdv4224n-ab01536a.webp,yes,False,4.7,9,2007.49
118,B,186.4,data/gas-fireplaces-scraped.json,FRK-01FR0042,FireRock,FireRock,01FR0042,FireRock 42 Inch Conventional Masonry Fireplace,frk-01fr0042,/products/gas-fireplaces/frk-01fr0042-fe3884e4.webp,yes,False,4.0,1,3944.19
119,B,186.4,data/gas-fireplaces-scraped.json,MAJ-JADE42IN,Majestic,Majestic,JADE42IN,Majestic 42 Inch Jade Series Direct Vent Gas Fireplace - Electronic Ignition,maj-jade42in,/products/gas-fireplaces/maj-jade42in-9d165737.webp,yes,False,5.0,1,3439.0
120,B,186.3,data/gas-fireplaces-scraped.json,CUI-VFP36SP32EN,Empire,Empire,VFP36SP32EN,Empire 36 Inch Vail Premium Vent Free Natural Gas See-Through Fireplace,cui-vfp36sp32en,/products/gas-fireplaces/cui-vfp36sp32en-39706158.webp,yes,False,5.0,3,3029.0
121,B,186.0,data/gas-fireplaces-scraped.json,SUP-DRT3535DEN-E,Superior,Superior,DRT3535DEN-E,Superior 35 Inch DRT3500 Direct Vent Gas Fireplace - Electronic Ignition,sup-drt3535den-e,/products/gas-fireplaces/sup-drt3535den-e-ac422523.webp,yes,False,5.0,1,3399.0
122,B,185.9,data/electric-fireplaces-scraped.json,NPL-NEFB36LCD-MF,Napoleon,Napoleon,NEFB36LCD-MF,Napoleon 36 Inch Elevation X Electric Built-In Smart Electric Fireplace,npl-nefb36lcd-mf,/products/electric-fireplaces/npl-nefb36lcd-mf-8bcefe3e.webp,yes,False,5.0,6,3889.0
123,B,185.7,data/gas-inserts-scraped.json,SUP-DRI2027TEN,Superior,Superior,DRI2027TEN,Superior 27 Inch Direct Vent Gas Fireplace Insert,sup-dri2027ten,/products/gas-inserts/sup-dri2027ten-fd9b4de4.webp,yes,True,5.0,1,2869.0
