sku,brand,name,categoryFile,productUrl,sourceImageUrl,imageUrl
LOPI-ANSWERNEXGENHYBRIDINSERT,Lopi,Lopi Answer NexGen Hybrid™ Insert,gas-inserts-scraped.json,https://www.lopistoves.com/product/answer-nexgen-hybrid-insert/,https://www.lopistoves.com/wp-content/uploads/AnswerNGHIN_Lifestyle_1600.jpg,/products-upgraded/gas-inserts/lopi-answernexgenhybridinsert.webp
LOPI-34DVLDELUXEEMBERGLO,Lopi,Lopi 34 DVL Deluxe Ember Glo,gas-stoves-scraped.json,https://www.lopistoves.com/product/34-dvl-deluxe-ember-glo/,https://www.lopistoves.com/wp-content/uploads/DVL_WilmingtonBlk_Campout_1600.jpg,/products-upgraded/gas-stoves/lopi-34dvldeluxeemberglo.webp
LOPI-NORTHFIELD,Lopi,Lopi Northfield,gas-stoves-scraped.json,https://www.lopistoves.com/product/northfield/,https://www.lopistoves.com/wp-content/uploads/Northfield_NewIron.jpg,/products-upgraded/gas-stoves/lopi-northfield.webp
LOPI-CYPRESSGSR,Lopi,Lopi Cypress Gsr,gas-stoves-scraped.json,https://www.lopistoves.com/product/cypress-gsr/,https://www.lopistoves.com/wp-content/uploads/Cypress_BlkPaint-1.jpg,/products-upgraded/gas-stoves/lopi-cypressgsr.webp
LOPI-430MODFYRE,Lopi,Lopi 430 Modfyre,gas-stoves-scraped.json,https://www.lopistoves.com/product/430-modfyre/,https://www.lopistoves.com/wp-content/uploads/L_430MF_Wilmington.jpg,/products-upgraded/gas-stoves/lopi-430modfyre.webp
LOPI-616MODFYRE,Lopi,Lopi 616 Modfyre,gas-stoves-scraped.json,https://www.lopistoves.com/product/616-modfyre/,https://www.lopistoves.com/wp-content/uploads/L_616MF_TimesSquareBP.jpg,/products-upgraded/gas-stoves/lopi-616modfyre.webp
LOPI-LIBERTYNEXGENFYRE,Lopi,Lopi Liberty NexGen Fyre™,wood-stoves-scraped.json,https://www.lopistoves.com/product/liberty-nexgen-fyre/,https://www.lopistoves.com/wp-content/uploads/Liberty_S_800.jpg,/products-upgraded/wood-stoves/lopi-libertynexgenfyre.webp
LOPI-ANSWERNEXGENFYREINSERT,Lopi,Lopi Answer NexGen Fyre™ Insert,gas-inserts-scraped.json,https://www.lopistoves.com/product/answer-nexgen-fyre-insert/,https://www.lopistoves.com/wp-content/uploads/Answer_In.jpg,/products-upgraded/gas-inserts/lopi-answernexgenfyreinsert.webp
LOPI-NORTHFIELDRADIANTMV,Lopi,Lopi Northfield Radiant MV,gas-stoves-scraped.json,https://www.lopistoves.com/product/northfield-radiant-mv/,https://www.lopistoves.com/wp-content/uploads/NorthfieldMV_NewIron.jpg,/products-upgraded/gas-stoves/lopi-northfieldradiantmv.webp
LOPI-32DVSDELUXEEMBERGLO,Lopi,Lopi 32 Dvs Deluxe Ember Glo,gas-stoves-scraped.json,https://www.lopistoves.com/product/32-dvs-deluxe-ember-glo/,https://www.lopistoves.com/wp-content/uploads/32DVSEG_WilBP_NoTrim.jpg,/products-upgraded/gas-stoves/lopi-32dvsdeluxeemberglo.webp
LOPI-616DELUXE,Lopi,Lopi 616 Deluxe,gas-stoves-scraped.json,https://www.lopistoves.com/product/616-deluxe/,https://www.lopistoves.com/wp-content/uploads/L_616_WilmingtonBP_NTrim.jpg,/products-upgraded/gas-stoves/lopi-616deluxe.webp
LOPI-GREENFIELDSTOVE,Lopi,Lopi Greenfield_stove,gas-stoves-scraped.json,https://www.lopistoves.com/product/greenfield_stove/,https://www.lopistoves.com/wp-content/uploads/Greenfield_NewIron_Lifestyle_1600.jpg,/products-upgraded/gas-stoves/lopi-greenfieldstove.webp
LOPI-BERKSHIRE,Lopi,Lopi Berkshire,gas-stoves-scraped.json,https://www.lopistoves.com/product/berkshire/,https://www.lopistoves.com/wp-content/uploads/Berkshire_NewIron.jpg,/products-upgraded/gas-stoves/lopi-berkshire.webp
LOPI-BERKSHIRERADIANTMVCOPY,Lopi,Lopi Berkshire Radiant MV Copy,gas-stoves-scraped.json,https://www.lopistoves.com/product/berkshire-radiant-mv-copy/,https://www.lopistoves.com/wp-content/uploads/GreenfieldMV_NewIron.jpg,/products-upgraded/gas-stoves/lopi-berkshireradiantmvcopy.webp
LOPI-BERKSHIRERADIANTMV,Lopi,Lopi Berkshire Radiant MV,gas-stoves-scraped.json,https://www.lopistoves.com/product/berkshire-radiant-mv/,https://www.lopistoves.com/wp-content/uploads/BerkshireMV_NewIron.jpg,/products-upgraded/gas-stoves/lopi-berkshireradiantmv.webp
LOPI-430DELUXE,Lopi,Lopi 430 Deluxe,gas-stoves-scraped.json,https://www.lopistoves.com/product/430-deluxe/,https://www.lopistoves.com/wp-content/uploads/L_430_TimesSquareBlk.jpg,/products-upgraded/gas-stoves/lopi-430deluxe.webp
LOPI-DEERFIELD,Lopi,Lopi Deerfield,gas-stoves-scraped.json,https://www.lopistoves.com/product/deerfield/,https://www.lopistoves.com/wp-content/uploads/Deerfield_S.jpg,/products-upgraded/gas-stoves/lopi-deerfield.webp
LOPI-CAPECODFLUSHWOODHYBRIDFYRE,Lopi,Lopi Cape Cod Flush Wood Hybrid™ Fyre™,wood-stoves-scraped.json,https://www.lopistoves.com/product/cape-cod-flush-wood-hybrid-fyre/,https://www.lopistoves.com/wp-content/uploads/MdFWHFCapeCod_In.jpg,/products-upgraded/wood-stoves/lopi-capecodflushwoodhybridfyre.webp
