sku,status,imageUrl,sourceImageUrl,reason
SRV7057-118,updated,/products/parts/srv7057-118.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/12469/19118/SRV7057-116-2__84412.1493962453.jpg?c=2,real-photo-found
534-017,updated,/products/parts/534-017.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/16128/66098/534-211A-01__35846.1744383552.jpg?c=2,real-photo-found
SRV4184-123,updated,/products/parts/srv4184-123.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/14406/34700/SRV29992__48093.1562884465.jpg?c=2,real-photo-found
W715-1082-SER,updated,/products/parts/w715-1082-ser.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/25071/57228/W715-1040-SER-2__76062.1667331604.jpg?c=2,real-photo-found
W080-1315,skipped,,,no-real-photo
2080090,skipped,,,no-real-photo
7034-216,skipped,,,no-real-photo
OA10253,skipped,,,no-real-photo
22139,updated,/products/parts/22139.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/22434/69283/22139-1__30395.1776791314.jpg?c=2,real-photo-found
N715-0045,updated,/products/parts/n715-0045.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/9758/54330/GL-620__13782.1635025317.jpg?c=2,real-photo-found
SRV2005-701,updated,/products/parts/srv2005-701.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/18000/49819/SRV2005-730__13773.1611329838.jpg?c=2,real-photo-found
50-2819,updated,/products/parts/50-2819.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/18884/30994/50-2000_photo2__07154.1558116776.jpg?c=2,real-photo-found
W010-4189-SER,updated,/products/parts/w010-4189-ser.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/16461/35676/W010-4188-SER-1__23007.1563904395.jpg?c=2,real-photo-found
W340-0005P,updated,/products/parts/w340-0005p.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/21306/36060/W010-2885__09255.1565293185.jpg?c=2,real-photo-found
W255-0059,updated,/products/parts/w255-0059.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/16956/28744/W255-0020-1__43060.1553010013.jpg?c=2,real-photo-found
G475-0009-SER,skipped,,,no-real-photo
SRV7021-120,skipped,,,no-real-photo
H8082,updated,/products/parts/h8082.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/6807/11049/80461-2__29679.1493927524.jpg?c=2,real-photo-found
SRV2281-716,updated,/products/parts/srv2281-716.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/17595/65192/SRV2281-713-01__31576.1740677123.jpg?c=2,real-photo-found
W135-0580,skipped,,,no-real-photo
W655-0454,skipped,,,no-real-photo
SRV4095-143,skipped,,,no-real-photo
W750-0412,updated,/products/parts/w750-0412.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13800/50909/W750-0050__98726.1621626851.jpg?c=2,real-photo-found
W263-0104,updated,/products/parts/w263-0104.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/12584/31339/TPHE-3__84336.1558540534.jpg?c=2,real-photo-found
1-10-232011W,error,,,HTTP Error 404: Not Found
W475-0680,skipped,,,no-real-photo
