file,id,sku,brand,name
"electric-fireplaces-scraped.json","","HLM-FE1105059","SEI","SEI 48 Inch Darvingmore Electric Fireplace with Marbled Surround Mantel"
"electric-fireplaces-scraped.json","","HLM-FE8525","SEI","SEI 72 Inch Gallatin Electric Fireplace with Faux Stone Bookcase"
"electric-fireplaces-scraped.json","","HLM-FR1126959","SEI","SEI 46 Inch Wansford Contemporary Electric Fireplace with Mantel"
"electric-fireplaces-scraped.json","","HLM-FC1080859","SEI","SEI 45 Inch Drovling Color Changing Electric Fireplace with Marble Mantel"
"electric-fireplaces-scraped.json","","HLM-FE1010356","SEI","SEI 58 Inch Toppington Electric Fireplace with Mirrored Media Console"
"electric-fireplaces-scraped.json","","HLM-FE1095656","SEI","SEI 60 Inch Delgrave Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FC1080759","SEI","SEI 50 Inch Hebbington Color Changing Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FC1137859","SEI","SEI 44 Inch Trandling Color Changing Electric Fireplace with Faux Stone Surround"
"electric-fireplaces-scraped.json","","HLM-FR9664","SEI","SEI 45 Inch Cardona Electric Fireplace with Faux Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FC1105059","SEI","SEI 48 Inch Darvingmore Color Changing Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FE1028059","SEI","SEI 44 Inch Lirrington Stainless Steel Electric Fireplace with Mantel"
"electric-fireplaces-scraped.json","","HLM-FR1028059","SEI","SEI 44 Inch Lirrington Stainless Steel Electric Fireplace"
"electric-fireplaces-scraped.json","","HLM-FR1095656","SEI","SEI 60 Inch Delgrave Electric Fireplace with Media Cabinet"
"electric-fireplaces-scraped.json","","HLM-FC1010356","SEI","SEI 58 Inch Toppington Color Changing Electric Fireplace with Mirrored Media Center"
"electric-fireplaces-scraped.json","","HLM-FC1095959","SEI","SEI 50 Inch Dakesbury Color Changing Electric Fireplace with Faux Stone Surround"
"electric-fireplaces-scraped.json","","HLM-FR1137556","SEI","SEI 47 Inch Austindale Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FR9396","SEI","SEI 45 Inch Nobleman Electric Fireplace with Tile Surround"
"electric-fireplaces-scraped.json","","HLM-FE8526","SEI","SEI 72 Inch Gallatin Electric Fireplace with Faux Stone Bookcase"
"electric-fireplaces-scraped.json","","HLM-FE9396","SEI","SEI 45 Inch Nobleman Electric Fireplace with Tiled Mantel"
"electric-fireplaces-scraped.json","","HLM-FR1009659","SEI","SEI 44 Inch Stadderly Electric Fireplace with Mirrored Surround"
"electric-fireplaces-scraped.json","","HLM-FE1137256","SEI","SEI 54 Inch Lannington Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FE1136956","SEI","SEI 54 Inch Wilconia Electric Media Fireplace with Carved Details"
"electric-fireplaces-scraped.json","","HLM-FR1063059","SEI","SEI 33 Inch Frescan Contemporary Electric Fireplace with Open Base"
"electric-fireplaces-scraped.json","","HLM-FR1095756","SEI","SEI 60 Inch Dibbonly Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FC1095859","SEI","SEI Cardington Contemporary Color Changing Fireplace with Mantel"
"electric-fireplaces-scraped.json","","HLM-FC1136956","SEI","SEI 54 Inch Wilconia Color Changing Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","LST-ZCFP1032US","LifeSmart","LifeSmart 60 Inch Freestanding Infrared Electric Fireplace with TV Media Mantel Shelf"
"electric-fireplaces-scraped.json","","HLM-FE1137859","SEI","SEI 44 Inch Trandling Electric Fireplace with Mirrored Faux Marble Mantel"
"electric-fireplaces-scraped.json","","HLM-FE1137456","SEI","SEI 46 Inch Dilvon Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FE1126959","SEI","SEI 45 Inch Wansford Electric Fireplace with Contemporary Mantel"
"electric-fireplaces-scraped.json","","HLM-FR1080759","SEI","SEI 50 Inch Hebbington Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FR1096059","SEI","SEI 48 Inch Birkover Electric Fireplace with Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FR9365","SEI","SEI 48 Inch Jacksdale Electric Fireplace with Faux Stone Surround"
"electric-fireplaces-scraped.json","","HLM-FR1009359","SEI","SEI 50 Inch Torlington Electric Fireplace with Marble Tiled Surround"
"electric-fireplaces-scraped.json","","HLM-FR1027359","SEI","SEI 44 Inch Trandling Electric Fireplace with Faux Marble Surround"
"electric-fireplaces-scraped.json","","HLM-FR1137256","SEI","SEI 54 Inch Lannington Electric Fireplace with Brown Media Storage Stand"
"electric-fireplaces-scraped.json","","HLM-FE1080759","SEI","SEI 50 Inch Hebbington Electric Fireplace with Tiled Marble Mantel"
"electric-fireplaces-scraped.json","","HLM-FC1126959","SEI","SEI 46 Inch Wansford Contemporary Color Changing Fireplace with Mantel"
"electric-fireplaces-scraped.json","","HLM-FE1095859","SEI","SEI 52 Inch Cardington Electric Fireplace with Industrial Mantel"
"electric-fireplaces-scraped.json","","HLM-FC1137556","SEI","SEI 47 Inch Austindale Color Changing Electric Fireplace with Media Cabinet"
"electric-fireplaces-scraped.json","","HLM-FC1027359","SEI","SEI 44 Inch Trandling Color Changing Electric Fireplace with Faux Stone Surround"
"electric-fireplaces-scraped.json","","HLM-FC1095756","SEI","SEI 60 Inch Dibbonly Color Changing Electric Fireplace with Media Storage"
"electric-fireplaces-scraped.json","","HLM-FC1009659","SEI","SEI 44 Inch Stadderly Changing Electric Fireplace with Mirrored Surround"
"electric-fireplaces-scraped.json","","HLM-FR1095859","SEI","SEI 52 Inch Cardington Contemporary Electric Fireplace with Mantel"
"electric-fireplaces-scraped.json","","HLM-FR1137456","SEI","SEI 46 Inch Dilvon Electric Media Fireplace with Storage"
"electric-fireplaces-scraped.json","","ORT-E-LECTRA50","Ortal","Ortal E-Lectra 50 Inch Traditional Electric Fireplace with Corner Options"
"electric-fireplaces-scraped.json","","JRH-EF10260","JR","JR Home 36 Inch ActiveFlame Mirage 2 Built-In - Wall Mount - or Freestanding Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","FRF-FLR-FP-SUITE-MILAN-GREY","Flamerite","Flamerite Fires 47 Inch Grey Milan Suite Wall Mantel with Slim Line 750S Electric Fireplace"
"electric-fireplaces-scraped.json","","DYN-DY-BFM76","Dynasty","Dynasty Fireplaces 76 Inch Allegro Smart Flush Mount or Built-In Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","DYN-DY-BFM58","Dynasty","Dynasty Fireplaces 58 Inch Allegro Smart Flush Mount or Built-In Linear Electric Fireplace"
