category_file,category,sku,brand,name,slug,current_image_url,product_url
gas-fireplaces-scraped.json,gas-fireplaces,MAJ-QUARTZ36IFTL,Majestic,Majestic 36 Inch Quartz Top/Rear Direct Vent Gas Fireplace with IntelliFire Touch Ignition,maj-quartz36iftl,/products/gas-fireplaces/maj-quartz36iftl-b05f4295.webp,https://www.efireplacestore.com/maj-quartz36iftl.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-VFD32FB0F,Empire,Empire 32 Inch Breckenridge Deluxe Flush Face Vent Free Fireplace Firebox,cui-vfd32fb0f,/products/gas-fireplaces/cui-vfd32fb0f-d551b651.webp,https://www.efireplacestore.com/cui-vfd32fb0f.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFLB48FP90N,Empire,Empire 48 Inch Boulevard Linear Vent Free Gas Fireplace - Intermittent Pilot,emp-vflb48fp90n,/products/gas-fireplaces/emp-vflb48fp90n-7ddcc791.webp,https://www.efireplacestore.com/emp-vflb48fp90n.html
gas-fireplaces-scraped.json,gas-fireplaces,KGM-ZCVRB3622N,Kingsman,Kingsman Zero Clearance Clean View Direct Vent Linear Millivolt Gas Fireplace - 36 Inch - ZCVRB3622,kgm-zcvrb3622n,/products/gas-fireplaces/kgm-zcvrb3622n-5a7a8aef.webp,https://www.efireplacestore.com/kgm-zcvrb3622n.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-DVD42FP70N,Empire,Empire DVD42FP70N Tahoe Deluxe Direct Vent Fireplace,cui-dvd42fp70n,/products/gas-fireplaces/cui-dvd42fp70n-200545f1.webp,https://www.efireplacestore.com/cui-dvd42fp70n.html
gas-fireplaces-scraped.json,gas-fireplaces,KGM-OFP42NE,Kingsman,Kingsman OFP42 Outdoor Vent Free Gas Fireplace - IPI Ignition,kgm-ofp42ne,/products/gas-fireplaces/kgm-ofp42ne-4f468ecd.webp,https://www.efireplacestore.com/kgm-ofp42ne.html
gas-fireplaces-scraped.json,gas-fireplaces,ODL-VOFB42-T,Outdoor,Outdoor Lifestyle 42 Inch Vesper Vent Free Outdoor Gas Firebox,odl-vofb42-t,/products/gas-fireplaces/odl-vofb42-t-f72a65f2.webp,https://www.efireplacestore.com/odl-vofb42-t.html
gas-fireplaces-scraped.json,gas-fireplaces,ODL-ODVILLA-36H,Outdoor,Outdoor Lifestyles Villawood 36 Inch Outdoor Wood Fireplace,odl-odvilla-36h,/products/gas-fireplaces/odl-odvilla-36h-e135b7eb.webp,https://www.efireplacestore.com/odl-odvilla-36h.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFLB48SP90N,Empire,Empire 48 Inch Boulevard Linear See-Through Vent Free Gas Fireplace - Intermittent Pilot,emp-vflb48sp90n,/products/gas-fireplaces/emp-vflb48sp90n-23f79257.webp,https://www.efireplacestore.com/emp-vflb48sp90n.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-BVD34FP30FN,Empire,Empire Keystone 34 Inch Natural Gas Flush Front Deluxe B-Vent Fireplace - Millivolt,emp-bvd34fp30fn,/products/gas-fireplaces/emp-bvd34fp30fn-18f2f988.webp,https://www.efireplacestore.com/emp-bvd34fp30fn.html
