sku,status,imageUrl,sourceImageUrl,reason
891250,updated,/products/parts/891250.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/7726/54429/891290-2__39974.1635188173.jpg?c=2,
SE49187,updated,/products/parts/se49187.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/8194/13267/AC01336-2__47504.1493936938.jpg?c=2,
AC03410,no-real-photo,,,no candidate product image found
FC5DR,updated,/products/parts/fc5dr.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/9403/33788/FC000-15__84761.1561669685.jpg?c=2,
112REBUILD,updated,/products/parts/112rebuild.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/1866/42798/16052112-1__17748.1586535057.jpg?c=2,
RFK82T-1,no-real-photo,,,no candidate product image found
30586,updated,/products/parts/30586.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/17208/28999/ACI-67C-1__57256.1554309487.jpg?c=2,
30005240A,updated,/products/parts/30005240a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/1502/2993/1307434-2__34517.1493892646.jpg?c=2,
20303258K,updated,/products/parts/20303258k.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/2359/52194/20303257K-2__26040.1627654295.jpg?c=2,
W010-1532K,no-real-photo,,,no candidate product image found
AK-4,updated,/products/parts/ak-4.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/45177/68897/CISM-01__63854.1758132472.jpg?c=2,
US00019,no-real-photo,,,no candidate product image found
GDBLSS,no-real-photo,,,no candidate product image found
W135-0353,updated,/products/parts/w135-0353.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/13140/63872/W135-0351-02__64473.1718997004.jpg?c=2,
892059,updated,/products/parts/892059.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/6862/35609/80591__92119.1563893088.jpg?c=2,
PL41044,updated,/products/parts/pl41044.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/12036/18186/SE41150-2__41241.1493959493.jpg?c=2,
30002089,updated,/products/parts/30002089.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/6566/30376/7001122__83528.1557254165.jpg?c=2,
PL37104PN,no-real-photo,,,no candidate product image found
PL64458,no-real-photo,,,no candidate product image found
LPS62SS,no-real-photo,,,no candidate product image found
891913,updated,/products/parts/891913.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/40198/51506/40379-2__91722.1625162457.jpg?c=2,
I4DPS,updated,/products/parts/i4dps.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/10222/16499/I3DPS-2__74604.1493949324.jpg?c=2,
