file,name,old,new,images
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair Probuilder 42 Linear Basic GSB","/products-upgraded/gas-fireplaces/fpx-probuilder42linearbasicgsb.webp","/products-upgraded/gas-fireplaces/fpx-probuilder42linearbasicgsb-3.webp","/products-upgraded/gas-fireplaces/fpx-probuilder42linearbasicgsb-3.webp|/products-upgraded/gas-fireplaces/fpx-probuilder42linearbasicgsb.webp|/products-upgraded/gas-fireplaces/fpx-probuilder42linearbasicgsb-2.webp|/products-upgraded/gas-fireplaces/fpx-probuilder42linearbasicgsb-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair Probuilder 42 Linear Deluxe","/products-upgraded/gas-fireplaces/fpx-probuilder42lineardeluxe.webp","/products-upgraded/gas-fireplaces/fpx-probuilder42lineardeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-probuilder42lineardeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-probuilder42lineardeluxe.webp|/products-upgraded/gas-fireplaces/fpx-probuilder42lineardeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-probuilder42lineardeluxe-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair Probuilder 54 Linear Basic GSB","/products-upgraded/gas-fireplaces/fpx-probuilder54linearbasicgsb.webp","/products-upgraded/gas-fireplaces/fpx-probuilder54linearbasicgsb-3.webp","/products-upgraded/gas-fireplaces/fpx-probuilder54linearbasicgsb-3.webp|/products-upgraded/gas-fireplaces/fpx-probuilder54linearbasicgsb.webp|/products-upgraded/gas-fireplaces/fpx-probuilder54linearbasicgsb-2.webp|/products-upgraded/gas-fireplaces/fpx-probuilder54linearbasicgsb-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair Probuilder 54 Linear Deluxe","/products-upgraded/gas-fireplaces/fpx-probuilder54lineardeluxe.webp","/products-upgraded/gas-fireplaces/fpx-probuilder54lineardeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-probuilder54lineardeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-probuilder54lineardeluxe.webp|/products-upgraded/gas-fireplaces/fpx-probuilder54lineardeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-probuilder54lineardeluxe-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair Probuilder 72 Linear Basic GSB","/products-upgraded/gas-fireplaces/fpx-probuilder72linearbasicgsb.webp","/products-upgraded/gas-fireplaces/fpx-probuilder72linearbasicgsb-3.webp","/products-upgraded/gas-fireplaces/fpx-probuilder72linearbasicgsb-3.webp|/products-upgraded/gas-fireplaces/fpx-probuilder72linearbasicgsb.webp|/products-upgraded/gas-fireplaces/fpx-probuilder72linearbasicgsb-2.webp|/products-upgraded/gas-fireplaces/fpx-probuilder72linearbasicgsb-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair Probuilder 72 Linear Deluxe","/products-upgraded/gas-fireplaces/fpx-probuilder72lineardeluxe.webp","/products-upgraded/gas-fireplaces/fpx-probuilder72lineardeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-probuilder72lineardeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-probuilder72lineardeluxe.webp|/products-upgraded/gas-fireplaces/fpx-probuilder72lineardeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-probuilder72lineardeluxe-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 4415 See Thru High Output Deluxe","/products-upgraded/gas-fireplaces/fpx-4415seethruhighoutputdeluxe.webp","/products-upgraded/gas-fireplaces/fpx-4415seethruhighoutputdeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-4415seethruhighoutputdeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-4415seethruhighoutputdeluxe.webp|/products-upgraded/gas-fireplaces/fpx-4415seethruhighoutputdeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-4415seethruhighoutputdeluxe-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 4237 Ember Glo Deluxe","/products-upgraded/gas-fireplaces/fpx-4237emberglodeluxe.webp","/products-upgraded/gas-fireplaces/fpx-4237emberglodeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-4237emberglodeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-4237emberglodeluxe.webp|/products-upgraded/gas-fireplaces/fpx-4237emberglodeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-4237emberglodeluxe-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 4237 Eg Cf","/products-upgraded/gas-fireplaces/fpx-4237egcf.webp","/products-upgraded/gas-fireplaces/fpx-4237egcf-3.webp","/products-upgraded/gas-fireplaces/fpx-4237egcf-3.webp|/products-upgraded/gas-fireplaces/fpx-4237egcf.webp|/products-upgraded/gas-fireplaces/fpx-4237egcf-2.webp|/products-upgraded/gas-fireplaces/fpx-4237egcf-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 864 TV 40 k Clean Face Deluxe","/products-upgraded/gas-fireplaces/fpx-864tv40kcleanfacedeluxe.webp","/products-upgraded/gas-fireplaces/fpx-864tv40kcleanfacedeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-864tv40kcleanfacedeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-864tv40kcleanfacedeluxe.webp|/products-upgraded/gas-fireplaces/fpx-864tv40kcleanfacedeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-864tv40kcleanfacedeluxe-4.webp"
